group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.046,0.9907,-0.1587,0.2507,False
ConvNeXtBase,EfficientNetB0,0.046,0.9907,-0.1587,0.2507,False
ConvNeXtBase,MobileNetV2,-0.098,0.7316,-0.3027,0.1067,False
ConvNeXtBase,NASNetMobile,-0.618,0.0,-0.8227,-0.4133,True
ConvNeXtBase,ResNet50,0.078,0.8848,-0.1267,0.2827,False
ConvNeXtBase,VGG19,-0.136,0.3756,-0.3407,0.0687,False
DenseNet169,EfficientNetB0,0.0,1.0,-0.2047,0.2047,False
DenseNet169,MobileNetV2,-0.144,0.3113,-0.3487,0.0607,False
DenseNet169,NASNetMobile,-0.664,0.0,-0.8687,-0.4593,True
DenseNet169,ResNet50,0.032,0.9987,-0.1727,0.2367,False
DenseNet169,VGG19,-0.182,0.1063,-0.3867,0.0227,False
EfficientNetB0,MobileNetV2,-0.144,0.3113,-0.3487,0.0607,False
EfficientNetB0,NASNetMobile,-0.664,0.0,-0.8687,-0.4593,True
EfficientNetB0,ResNet50,0.032,0.9987,-0.1727,0.2367,False
EfficientNetB0,VGG19,-0.182,0.1063,-0.3867,0.0227,False
MobileNetV2,NASNetMobile,-0.52,0.0,-0.7247,-0.3153,True
MobileNetV2,ResNet50,0.176,0.1282,-0.0287,0.3807,False
MobileNetV2,VGG19,-0.038,0.9967,-0.2427,0.1667,False
NASNetMobile,ResNet50,0.696,0.0,0.4913,0.9007,True
NASNetMobile,VGG19,0.482,0.0,0.2773,0.6867,True
ResNet50,VGG19,-0.214,0.036,-0.4187,-0.0093,True
