group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.046,0.991,-0.1603,0.2523,False
ConvNeXtBase,EfficientNetB0,0.046,0.991,-0.1603,0.2523,False
ConvNeXtBase,MobileNetV2,-0.104,0.6837,-0.3103,0.1023,False
ConvNeXtBase,NASNetMobile,-0.616,0.0,-0.8223,-0.4097,True
ConvNeXtBase,ResNet50,0.078,0.8884,-0.1283,0.2843,False
ConvNeXtBase,VGG19,-0.136,0.3846,-0.3423,0.0703,False
DenseNet169,EfficientNetB0,0.0,1.0,-0.2063,0.2063,False
DenseNet169,MobileNetV2,-0.15,0.2759,-0.3563,0.0563,False
DenseNet169,NASNetMobile,-0.662,0.0,-0.8683,-0.4557,True
DenseNet169,ResNet50,0.032,0.9988,-0.1743,0.2383,False
DenseNet169,VGG19,-0.182,0.1112,-0.3883,0.0243,False
EfficientNetB0,MobileNetV2,-0.15,0.2759,-0.3563,0.0563,False
EfficientNetB0,NASNetMobile,-0.662,0.0,-0.8683,-0.4557,True
EfficientNetB0,ResNet50,0.032,0.9988,-0.1743,0.2383,False
EfficientNetB0,VGG19,-0.182,0.1112,-0.3883,0.0243,False
MobileNetV2,NASNetMobile,-0.512,0.0,-0.7183,-0.3057,True
MobileNetV2,ResNet50,0.182,0.1112,-0.0243,0.3883,False
MobileNetV2,VGG19,-0.032,0.9988,-0.2383,0.1743,False
NASNetMobile,ResNet50,0.694,0.0,0.4877,0.9003,True
NASNetMobile,VGG19,0.48,0.0,0.2737,0.6863,True
ResNet50,VGG19,-0.214,0.0382,-0.4203,-0.0077,True
