group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,-0.008,0.9905,-0.0435,0.0275,False
ConvNeXtBase,EfficientNetB0,-0.032,0.098,-0.0675,0.0035,False
ConvNeXtBase,MobileNetV2,0.0,1.0,-0.0355,0.0355,False
ConvNeXtBase,NASNetMobile,-0.138,0.0,-0.1735,-0.1025,True
ConvNeXtBase,ResNet50,0.0,1.0,-0.0355,0.0355,False
ConvNeXtBase,VGG19,-0.104,0.0,-0.1395,-0.0685,True
DenseNet169,EfficientNetB0,-0.024,0.3554,-0.0595,0.0115,False
DenseNet169,MobileNetV2,0.008,0.9905,-0.0275,0.0435,False
DenseNet169,NASNetMobile,-0.13,0.0,-0.1655,-0.0945,True
DenseNet169,ResNet50,0.008,0.9905,-0.0275,0.0435,False
DenseNet169,VGG19,-0.096,0.0,-0.1315,-0.0605,True
EfficientNetB0,MobileNetV2,0.032,0.098,-0.0035,0.0675,False
EfficientNetB0,NASNetMobile,-0.106,0.0,-0.1415,-0.0705,True
EfficientNetB0,ResNet50,0.032,0.098,-0.0035,0.0675,False
EfficientNetB0,VGG19,-0.072,0.0,-0.1075,-0.0365,True
MobileNetV2,NASNetMobile,-0.138,0.0,-0.1735,-0.1025,True
MobileNetV2,ResNet50,0.0,1.0,-0.0355,0.0355,False
MobileNetV2,VGG19,-0.104,0.0,-0.1395,-0.0685,True
NASNetMobile,ResNet50,0.138,0.0,0.1025,0.1735,True
NASNetMobile,VGG19,0.034,0.0671,-0.0015,0.0695,False
ResNet50,VGG19,-0.104,0.0,-0.1395,-0.0685,True
