group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,-0.008,0.9914,-0.0441,0.0281,False
ConvNeXtBase,EfficientNetB0,-0.032,0.1088,-0.0681,0.0041,False
ConvNeXtBase,MobileNetV2,0.0,1.0,-0.0361,0.0361,False
ConvNeXtBase,NASNetMobile,-0.14,0.0,-0.1761,-0.1039,True
ConvNeXtBase,ResNet50,0.0,1.0,-0.0361,0.0361,False
ConvNeXtBase,VGG19,-0.104,0.0,-0.1401,-0.0679,True
DenseNet169,EfficientNetB0,-0.024,0.3759,-0.0601,0.0121,False
DenseNet169,MobileNetV2,0.008,0.9914,-0.0281,0.0441,False
DenseNet169,NASNetMobile,-0.132,0.0,-0.1681,-0.0959,True
DenseNet169,ResNet50,0.008,0.9914,-0.0281,0.0441,False
DenseNet169,VGG19,-0.096,0.0,-0.1321,-0.0599,True
EfficientNetB0,MobileNetV2,0.032,0.1088,-0.0041,0.0681,False
EfficientNetB0,NASNetMobile,-0.108,0.0,-0.1441,-0.0719,True
EfficientNetB0,ResNet50,0.032,0.1088,-0.0041,0.0681,False
EfficientNetB0,VGG19,-0.072,0.0,-0.1081,-0.0359,True
MobileNetV2,NASNetMobile,-0.14,0.0,-0.1761,-0.1039,True
MobileNetV2,ResNet50,0.0,1.0,-0.0361,0.0361,False
MobileNetV2,VGG19,-0.104,0.0,-0.1401,-0.0679,True
NASNetMobile,ResNet50,0.14,0.0,0.1039,0.1761,True
NASNetMobile,VGG19,0.036,0.0513,-0.0001,0.0721,False
ResNet50,VGG19,-0.104,0.0,-0.1401,-0.0679,True
