group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.054,0.985,-0.1654,0.2734,False
ConvNeXtBase,EfficientNetB0,0.078,0.914,-0.1414,0.2974,False
ConvNeXtBase,MobileNetV2,-0.098,0.7882,-0.3174,0.1214,False
ConvNeXtBase,NASNetMobile,-0.478,0.0,-0.6974,-0.2586,True
ConvNeXtBase,ResNet50,0.078,0.914,-0.1414,0.2974,False
ConvNeXtBase,VGG19,-0.038,0.9977,-0.2574,0.1814,False
DenseNet169,EfficientNetB0,0.024,0.9998,-0.1954,0.2434,False
DenseNet169,MobileNetV2,-0.152,0.3282,-0.3714,0.0674,False
DenseNet169,NASNetMobile,-0.532,0.0,-0.7514,-0.3126,True
DenseNet169,ResNet50,0.024,0.9998,-0.1954,0.2434,False
DenseNet169,VGG19,-0.092,0.832,-0.3114,0.1274,False
EfficientNetB0,MobileNetV2,-0.176,0.182,-0.3954,0.0434,False
EfficientNetB0,NASNetMobile,-0.556,0.0,-0.7754,-0.3366,True
EfficientNetB0,ResNet50,0.0,1.0,-0.2194,0.2194,False
EfficientNetB0,VGG19,-0.116,0.6357,-0.3354,0.1034,False
MobileNetV2,NASNetMobile,-0.38,0.0001,-0.5994,-0.1606,True
MobileNetV2,ResNet50,0.176,0.182,-0.0434,0.3954,False
MobileNetV2,VGG19,0.06,0.9745,-0.1594,0.2794,False
NASNetMobile,ResNet50,0.556,0.0,0.3366,0.7754,True
NASNetMobile,VGG19,0.44,0.0,0.2206,0.6594,True
ResNet50,VGG19,-0.116,0.6357,-0.3354,0.1034,False
