group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.024,0.9814,-0.0695,0.1175,False
ConvNeXtBase,EfficientNetB0,0.032,0.927,-0.0615,0.1255,False
ConvNeXtBase,MobileNetV2,-0.276,0.0,-0.3695,-0.1825,True
ConvNeXtBase,NASNetMobile,-0.23,0.0,-0.3235,-0.1365,True
ConvNeXtBase,ResNet50,0.024,0.9814,-0.0695,0.1175,False
ConvNeXtBase,VGG19,-0.056,0.4963,-0.1495,0.0375,False
DenseNet169,EfficientNetB0,0.008,1.0,-0.0855,0.1015,False
DenseNet169,MobileNetV2,-0.3,0.0,-0.3935,-0.2065,True
DenseNet169,NASNetMobile,-0.254,0.0,-0.3475,-0.1605,True
DenseNet169,ResNet50,0.0,1.0,-0.0935,0.0935,False
DenseNet169,VGG19,-0.08,0.1314,-0.1735,0.0135,False
EfficientNetB0,MobileNetV2,-0.308,0.0,-0.4015,-0.2145,True
EfficientNetB0,NASNetMobile,-0.262,0.0,-0.3555,-0.1685,True
EfficientNetB0,ResNet50,-0.008,1.0,-0.1015,0.0855,False
EfficientNetB0,VGG19,-0.088,0.0751,-0.1815,0.0055,False
MobileNetV2,NASNetMobile,0.046,0.7066,-0.0475,0.1395,False
MobileNetV2,ResNet50,0.3,0.0,0.2065,0.3935,True
MobileNetV2,VGG19,0.22,0.0,0.1265,0.3135,True
NASNetMobile,ResNet50,0.254,0.0,0.1605,0.3475,True
NASNetMobile,VGG19,0.174,0.0,0.0805,0.2675,True
ResNet50,VGG19,-0.08,0.1314,-0.1735,0.0135,False
