architecture,precision,recall,f1 score,Balance Accuracy,Specificity,MCC,Cohen's Kappa,Test Loss,Test Accuracy,Architecture,Round
HELMINTHS_BINARY_ConvNeXtBase_round1,99.92,100.0,99.96,99.96,99.92,99.92,99.92,0.001,99.96,ConvNeXtBase,1
HELMINTHS_BINARY_ConvNeXtBase_round2,99.92,100.0,99.96,99.96,99.92,99.92,99.92,0.0026,99.96,ConvNeXtBase,2
HELMINTHS_BINARY_ConvNeXtBase_round3,99.92,100.0,99.96,99.96,99.92,99.92,99.92,0.001,99.96,ConvNeXtBase,3
HELMINTHS_BINARY_ConvNeXtBase_round4,99.92,100.0,99.96,99.96,99.92,99.92,99.92,0.0021,99.96,ConvNeXtBase,4
HELMINTHS_BINARY_ConvNeXtBase_round5,99.92,100.0,99.96,99.96,99.92,99.92,99.92,0.0019,99.96,ConvNeXtBase,5
HELMINTHS_BINARY_DenseNet169_round1,100.0,99.92,99.96,99.96,100.0,99.92,99.92,0.0006,99.96,DenseNet169,1
HELMINTHS_BINARY_DenseNet169_round2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,100.0,DenseNet169,2
HELMINTHS_BINARY_DenseNet169_round3,100.0,99.92,99.96,99.96,100.0,99.92,99.92,0.0018,99.96,DenseNet169,3
HELMINTHS_BINARY_DenseNet169_round4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0002,100.0,DenseNet169,4
HELMINTHS_BINARY_DenseNet169_round5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0003,100.0,DenseNet169,5
HELMINTHS_BINARY_EfficientNetB0_round1,99.92,100.0,99.96,99.96,99.92,99.92,99.92,0.0007,99.96,EfficientNetB0,1
HELMINTHS_BINARY_EfficientNetB0_round2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0003,100.0,EfficientNetB0,2
HELMINTHS_BINARY_EfficientNetB0_round3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0002,100.0,EfficientNetB0,3
HELMINTHS_BINARY_EfficientNetB0_round4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0003,100.0,EfficientNetB0,4
HELMINTHS_BINARY_EfficientNetB0_round5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0002,100.0,EfficientNetB0,5
HELMINTHS_BINARY_MobileNetV2_round1,99.76,99.68,99.72,99.77,99.77,99.46,99.46,0.0102,99.73,MobileNetV2,1
HELMINTHS_BINARY_MobileNetV2_round2,99.76,99.68,99.72,99.73,99.77,99.46,99.46,0.0104,99.73,MobileNetV2,2
HELMINTHS_BINARY_MobileNetV2_round3,99.76,99.53,99.64,99.65,99.77,99.3,99.3,0.0095,99.65,MobileNetV2,3
HELMINTHS_BINARY_MobileNetV2_round4,99.45,99.68,99.57,99.58,99.47,99.15,99.15,0.0161,99.57,MobileNetV2,4
HELMINTHS_BINARY_MobileNetV2_round5,99.84,99.53,99.68,99.69,99.85,99.38,99.38,0.0091,99.69,MobileNetV2,5
HELMINTHS_BINARY_NASNetMobile_round1,99.92,99.61,99.76,99.76,99.92,99.54,99.54,0.0076,99.77,NASNetMobile,1
HELMINTHS_BINARY_NASNetMobile_round2,99.76,99.68,99.72,99.73,99.77,99.46,99.46,0.0087,99.73,NASNetMobile,2
HELMINTHS_BINARY_NASNetMobile_round3,99.84,99.84,99.84,99.85,99.85,99.69,99.69,0.007,99.85,NASNetMobile,3
HELMINTHS_BINARY_NASNetMobile_round4,99.61,99.76,99.68,99.69,99.62,99.38,99.38,0.0072,99.69,NASNetMobile,4
HELMINTHS_BINARY_NASNetMobile_round5,99.29,99.92,99.61,99.62,99.32,99.23,99.23,0.0119,99.61,NASNetMobile,5
HELMINTHS_BINARY_ResNet50_round1,99.84,100.0,99.92,99.92,99.85,99.85,99.85,0.001,99.92,ResNet50,1
HELMINTHS_BINARY_ResNet50_round2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1e-05,100.0,ResNet50,2
HELMINTHS_BINARY_ResNet50_round3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1e-05,100.0,ResNet50,3
HELMINTHS_BINARY_ResNet50_round4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1e-05,100.0,ResNet50,4
HELMINTHS_BINARY_ResNet50_round5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0001,100.0,ResNet50,5
HELMINTHS_BINARY_VGG19_round1,99.84,99.92,99.88,99.88,99.85,99.77,99.77,0.0015,99.88,VGG19,1
HELMINTHS_BINARY_VGG19_round2,99.84,99.92,99.88,99.88,99.85,99.77,99.77,0.0018,99.88,VGG19,2
HELMINTHS_BINARY_VGG19_round3,99.84,100.0,99.92,99.92,99.85,99.85,99.85,0.0036,99.92,VGG19,3
HELMINTHS_BINARY_VGG19_round4,99.84,100.0,99.92,99.92,99.85,99.85,99.85,0.0019,99.92,VGG19,4
HELMINTHS_BINARY_VGG19_round5,99.84,100.0,99.92,99.92,99.85,99.85,99.85,0.0027,99.92,VGG19,5
