group1,group2,meandiff,p-adj,lower,upper,reject
ConvNeXtBase,DenseNet169,0.024,0.977,-0.0656,0.1136,False
ConvNeXtBase,EfficientNetB0,0.032,0.9123,-0.0576,0.1216,False
ConvNeXtBase,MobileNetV2,-0.294,0.0,-0.3836,-0.2044,True
ConvNeXtBase,NASNetMobile,-0.238,0.0,-0.3276,-0.1484,True
ConvNeXtBase,ResNet50,0.024,0.977,-0.0656,0.1136,False
ConvNeXtBase,VGG19,-0.056,0.4469,-0.1456,0.0336,False
DenseNet169,EfficientNetB0,0.008,0.9999,-0.0816,0.0976,False
DenseNet169,MobileNetV2,-0.318,0.0,-0.4076,-0.2284,True
DenseNet169,NASNetMobile,-0.262,0.0,-0.3516,-0.1724,True
DenseNet169,ResNet50,0.0,1.0,-0.0896,0.0896,False
DenseNet169,VGG19,-0.08,0.1038,-0.1696,0.0096,False
EfficientNetB0,MobileNetV2,-0.326,0.0,-0.4156,-0.2364,True
EfficientNetB0,NASNetMobile,-0.27,0.0,-0.3596,-0.1804,True
EfficientNetB0,ResNet50,-0.008,0.9999,-0.0976,0.0816,False
EfficientNetB0,VGG19,-0.088,0.0567,-0.1776,0.0016,False
MobileNetV2,NASNetMobile,0.056,0.4469,-0.0336,0.1456,False
MobileNetV2,ResNet50,0.318,0.0,0.2284,0.4076,True
MobileNetV2,VGG19,0.238,0.0,0.1484,0.3276,True
NASNetMobile,ResNet50,0.262,0.0,0.1724,0.3516,True
NASNetMobile,VGG19,0.182,0.0,0.0924,0.2716,True
ResNet50,VGG19,-0.08,0.1038,-0.1696,0.0096,False
